modbus.byte_cnt,modbus.data,modbus.func_code,modbus.reference_num,modbus.regnum16,modbus.regval_uint16,modbus.request_frame,modbus.word_cnt,ip.src,ip.dst,eth.src,eth.dst,label
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","8467,63689,46848,31658,56587,16647,16858,64369,5095,62108",9603.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,92:95,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,92:95,6,0.0,,,9635.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f5:a9,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f5:a9,6,1.0,,,9653.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,21:0d,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,21:0d,6,2.0,,,9671.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,9a:d1,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,9a:d1,6,3.0,,,9689.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,36:2e,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,36:2e,6,4.0,,,9707.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,bf:2b,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,bf:2b,6,5.0,,,9725.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f6:c8,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f6:c8,6,6.0,,,9743.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f2:e5,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f2:e5,6,7.0,,,9762.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,62:67,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,62:67,6,8.0,,,9780.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f1:39,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f1:39,6,9.0,,,9798.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","37525,62889,8461,39633,13870,48939,63176,62181,25191,61753",9851.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","37525,62889,8461,39633,13870,48939,63176,62181,25191,61753",9903.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,5a:3e,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,5a:3e,6,0.0,,,9933.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,c5:74,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,c5:74,6,1.0,,,9951.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,24:e8,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,24:e8,6,2.0,,,9969.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,e0:04,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,e0:04,6,3.0,,,9987.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,9d:ba,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,9d:ba,6,4.0,,,10005.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f2:6a,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f2:6a,6,5.0,,,10023.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,ea:c2,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,ea:c2,6,6.0,,,10041.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,74:e1,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,74:e1,6,7.0,,,10059.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,44:f2,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,44:f2,6,8.0,,,10077.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,b0:c7,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,b0:c7,6,9.0,,,10095.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","23102,50548,9448,57348,40378,62058,60098,29921,17650,45255",10144.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","23102,50548,9448,57348,40378,62058,60098,29921,17650,45255",10220.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,97:f9,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,97:f9,6,0.0,,,10252.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,9d:7f,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,9d:7f,6,1.0,,,10270.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,2c:8e,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,2c:8e,6,2.0,,,10288.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,81:a9,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,81:a9,6,3.0,,,10306.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,74:80,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,74:80,6,4.0,,,10324.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,c5:95,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,c5:95,6,5.0,,,10342.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,80:9b,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,80:9b,6,6.0,,,10360.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,63:92,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,63:92,6,7.0,,,10378.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,b1:21,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,b1:21,6,8.0,,,10396.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,86:37,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,86:37,6,9.0,,,10414.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","38905,40319,11406,33193,29824,50581,32923,25490,45345,34359",10455.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","38905,40319,11406,33193,29824,50581,32923,25490,45345,34359",10529.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,99:e4,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,99:e4,6,0.0,,,10563.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,7d:f5,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,7d:f5,6,1.0,,,10581.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,2d:44,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,2d:44,6,2.0,,,10599.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,10:3f,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,10:3f,6,3.0,,,10619.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,3b:7a,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,3b:7a,6,4.0,,,10637.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f3:17,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f3:17,6,5.0,,,10655.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,d2:1b,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,d2:1b,6,6.0,,,10673.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,65:c6,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,65:c6,6,7.0,,,10691.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,fa:9e,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,fa:9e,6,8.0,,,10709.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,3b:32,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,3b:32,6,9.0,,,10727.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","39396,32245,11588,4159,15226,62231,53787,26054,64158,15154",10779.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","39396,32245,11588,4159,15226,62231,53787,26054,64158,15154",10826.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,8b:1a,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,8b:1a,6,0.0,,,10858.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,37:15,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,37:15,6,1.0,,,10876.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,3d:b8,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,3d:b8,6,2.0,,,10894.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,85:4b,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,85:4b,6,3.0,,,10912.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,cf:ca,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,cf:ca,6,4.0,,,10930.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,af:b1,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,af:b1,6,5.0,,,10949.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f9:54,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f9:54,6,6.0,,,10967.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,99:99,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,99:99,6,7.0,,,10981.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f6:fb,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f6:fb,6,8.0,,,11003.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,42:67,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,42:67,6,9.0,,,11021.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","35610,14101,15800,34123,53194,44977,63828,39321,63227,16999",11072.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","35610,14101,15800,34123,53194,44977,63828,39321,63227,16999",11154.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,b0:d1,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,b0:d1,6,0.0,,,11192.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,a7:53,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,a7:53,6,1.0,,,11210.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,04:8e,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,04:8e,6,2.0,,,11228.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,a1:85,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,a1:85,6,3.0,,,11246.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,34:1a,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,34:1a,6,4.0,,,11264.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,ac:34,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,ac:34,6,5.0,,,11282.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,8b:45,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,8b:45,6,6.0,,,11300.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,4f:48,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,4f:48,6,7.0,,,11318.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,c9:2f,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,c9:2f,6,8.0,,,11336.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,a7:f9,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,a7:f9,6,9.0,,,11354.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","45265,42835,1166,41349,13338,44084,35653,20296,51503,43001",11400.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","45265,42835,1166,41349,13338,44084,35653,20296,51503,43001",11465.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,b0:3b,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,b0:3b,6,0.0,,,11506.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,2d:77,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,2d:77,6,1.0,,,11524.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,85:21,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,85:21,6,2.0,,,11542.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,d8:4e,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,d8:4e,6,3.0,,,11560.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,03:35,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,03:35,6,4.0,,,11578.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,27:98,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,27:98,6,5.0,,,11596.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,46:30,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,46:30,6,6.0,,,11614.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,bb:a2,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,bb:a2,6,7.0,,,11632.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,84:58,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,84:58,6,8.0,,,11650.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,47:f6,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,47:f6,6,9.0,,,11668.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","45115,11639,34081,55374,821,10136,17968,48034,33880,18422",11719.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","45115,11639,34081,55374,821,10136,17968,48034,33880,18422",11772.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,81:a4,6,0.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,81:a4,6,0.0,,,11806.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,cd:d0,6,1.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,cd:d0,6,1.0,,,11824.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,f0:3a,6,2.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,f0:3a,6,2.0,,,11842.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,ee:33,6,3.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,ee:33,6,3.0,,,11860.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,96:8a,6,4.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,96:8a,6,4.0,,,11878.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,02:39,6,5.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,02:39,6,5.0,,,11896.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,c7:12,6,6.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,c7:12,6,6.0,,,11914.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,0d:dd,6,7.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,0d:dd,6,7.0,,,11932.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,73:a8,6,8.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,73:a8,6,8.0,,,11950.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,07:9d,6,9.0,,,,,10.20.4.150,10.20.4.100,mac-c,mac-a,1
,07:9d,6,9.0,,,11968.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12022.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12086.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.150,10.20.4.100,mac-c,mac-a,1
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12124.0,,10.20.4.100,10.20.4.150,mac-a,mac-c,1
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12160.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12213.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12288.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12355.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
,,3,0.0,,,,10.0,10.20.4.200,10.20.4.100,mac-b,mac-a,0
20.0,,3,,"0,1,2,3,4,5,6,7,8,9","33188,52688,61498,60979,38538,569,50962,3549,29608,1949",12418.0,,10.20.4.100,10.20.4.200,mac-a,mac-b,0
